arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,arch1,PS,runtime
AdvMicDevRyzen52500U_DDR42400_3GB,2,X86_64,8,64,1,32,8,64,1,512,16,64,4,4,3,DDR4,2400,4,AdvMicDevRyzen52500U_DDR42400_3GB_qcif,qcif,48521
AdvMicDevRyzen52500U_DDR42400_4GB,2,X86_64,8,64,1,32,8,64,1,512,16,64,4,4,4,DDR4,2400,4,AdvMicDevRyzen52500U_DDR42400_4GB_qcif,qcif,48521
AdvMicDevRyzen52500U_DDR42400_6GB,2,X86_64,8,64,1,32,8,64,1,512,16,64,4,4,6,DDR4,2400,4,AdvMicDevRyzen52500U_DDR42400_6GB_qcif,qcif,48521
AdvMicDevRyzen52500U_DDR42400_7GB,2,X86_64,8,64,1,32,8,64,1,512,16,64,4,4,7,DDR4,2400,4,AdvMicDevRyzen52500U_DDR42400_7GB_qcif,qcif,48521
AdvMicDevEpyc7401P_DDR42666_2GB,2,X86_64,8,64,1,32,8,64,1,512,16,64,24,64,2,DDR4,2666,24,AdvMicDevEpyc7401P_DDR42666_2GB_qcif,qcif,48521
AdvMicDevEpyc7401P_DDR42666_3GB,2,X86_64,8,64,1,32,8,64,1,512,16,64,24,64,3,DDR4,2666,24,AdvMicDevEpyc7401P_DDR42666_3GB_qcif,qcif,48521
AdvMicDevEpyc7401P_DDR42666_4GB,2,X86_64,8,64,1,32,8,64,1,512,16,64,24,64,4,DDR4,2666,24,AdvMicDevEpyc7401P_DDR42666_4GB_qcif,qcif,48521
AdvMicDevEpyc7401P_DDR42666_6GB,2,X86_64,8,64,1,32,8,64,1,512,16,64,24,64,6,DDR4,2666,24,AdvMicDevEpyc7401P_DDR42666_6GB_qcif,qcif,48521
AdvMicDevEpyc7401P_DDR42666_7GB,2,X86_64,8,64,1,32,8,64,1,512,16,64,24,64,7,DDR4,2666,24,AdvMicDevEpyc7401P_DDR42666_7GB_qcif,qcif,48521
AdvMicDevEpyc7251_DDR42400_2GB,2.1,X86_64,8,64,1,32,8,64,1,512,16,64,8,32,2,DDR4,2400,8,AdvMicDevEpyc7251_DDR42400_2GB_qcif,qcif,46975
AdvMicDevEpyc7251_DDR42400_3GB,2.1,X86_64,8,64,1,32,8,64,1,512,16,64,8,32,3,DDR4,2400,8,AdvMicDevEpyc7251_DDR42400_3GB_qcif,qcif,46975
AdvMicDevEpyc7251_DDR42400_4GB,2.1,X86_64,8,64,1,32,8,64,1,512,16,64,8,32,4,DDR4,2400,8,AdvMicDevEpyc7251_DDR42400_4GB_qcif,qcif,46975
AdvMicDevEpyc7251_DDR42400_6GB,2.1,X86_64,8,64,1,32,8,64,1,512,16,64,8,32,6,DDR4,2400,8,AdvMicDevEpyc7251_DDR42400_6GB_qcif,qcif,46975
