sys,sysname,arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,bus_speed,PS,executable,no_of_procs,runtime
lab007068,Dell_Optiplex_3040,IntelCorei56500_DDR42400_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,4,4096,B,npb_mg.B.x_8,8,5.51
lab00801,Dell_Optiplex_3020,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,1024,B,npb_mg.B.x_1,1,5.23
lab00801,Dell_Optiplex_3020,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,1024,B,npb_mg.B.x_2,2,5.04
lab00801,Dell_Optiplex_3020,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,1024,B,npb_mg.B.x_3,3,4.99
lab00801,Dell_Optiplex_3020,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,1024,B,npb_mg.B.x_4,4,5.59
lab00801,Dell_Optiplex_3020,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,1024,B,npb_mg.B.x_5,5,5.53
lab00801,Dell_Optiplex_3020,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,1024,B,npb_mg.B.x_6,6,5.55
lab00801,Dell_Optiplex_3020,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,1024,B,npb_mg.B.x_7,7,5.73
lab00801,Dell_Optiplex_3020,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,1024,B,npb_mg.B.x_8,8,5.15
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,B,npb_mg.B.x_1,1,8.26
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,B,npb_mg.B.x_2,2,7.74
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,B,npb_mg.B.x_3,3,7.8
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,B,npb_mg.B.x_4,4,8.84
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,B,npb_mg.B.x_5,5,9.34
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,B,npb_mg.B.x_6,6,9.02
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,B,npb_mg.B.x_7,7,9.13
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,B,npb_mg.B.x_8,8,6.7
